sample start (ns), sample end (ns), package-0 (J), core (J), dram (J), amdgpu-pci-0300#power1_average (W), integrated amdgpu-pci-0300#power1_average (J),
1704475984133062013, 1704475984233474663, 0.546874, 0.192321, 0.107360, 6.000000, 0.600000, 
1704475984233474663, 1704475984332680255, 0.540587, 0.194946, 0.107483, 6.000000, 0.600000, 
1704475984332680255, 1704475984433077117, 0.556395, 0.206970, 0.105163, 6.000000, 0.600000, 
1704475984433077117, 1704475984533498566, 0.558165, 0.203857, 0.110474, 6.000000, 0.600000, 
1704475984533498566, 1704475984632717064, 0.552916, 0.206969, 0.108154, 6.000000, 0.600000, 
1704475984632717064, 1704475984733075328, 0.537291, 0.188049, 0.105163, 6.000000, 0.600000, 
1704475984733075328, 1704475984833397713, 0.568480, 0.219543, 0.112121, 6.000000, 0.600000, 
1704475984833397713, 1704475984932693904, 4.223927, 3.850088, 0.233642, 7.000000, 0.700000, 
1704475984932693904, 1704475985033036853, 1.021909, 0.670408, 0.107666, 6.000000, 0.600000, 
1704475985033036853, 1704475985133369792, 0.564696, 0.214538, 0.113220, 6.000000, 0.600000, 
1704475985133369792, 1704475985233746410, 0.549376, 0.195007, 0.106689, 6.000000, 0.600000, 
1704475985233746410, 1704475985333111601, 0.540099, 0.195434, 0.106201, 6.000000, 0.600000, 
1704475985333111601, 1704475985433445382, 0.566343, 0.216614, 0.109253, 6.000000, 0.600000, 
1704475985433445382, 1704475985532687496, 0.533507, 0.181518, 0.105956, 6.000000, 0.600000, 
1704475985532687496, 1704475985633085876, 0.543761, 0.195067, 0.108338, 6.000000, 0.600000, 
1704475985633085876, 1704475985733446781, 0.559447, 0.204651, 0.109191, 6.000000, 0.600000, 
1704475985733446781, 1704475985833725379, 0.550352, 0.200561, 0.106262, 6.000000, 0.600000, 
1704475985833725379, 1704475985933039871, 0.547484, 0.202087, 0.106872, 6.000000, 0.600000, 
1704475985933039871, 1704475986033454630, 0.572387, 0.222228, 0.107910, 6.000000, 0.600000, 
1704475986033454630, 1704475986132728085, 0.549986, 0.199096, 0.104004, 6.000000, 0.600000, 
1704475986132728085, 1704475986233111556, 0.548522, 0.200378, 0.109985, 6.000000, 0.600000, 
1704475986233111556, 1704475986333485776, 0.607908, 0.257080, 0.109192, 6.000000, 0.600000, 
1704475986333485776, 1704475986432724891, 0.574645, 0.223144, 0.105895, 6.000000, 0.600000, 
1704475986432724891, 1704475986533150332, 0.547240, 0.197875, 0.108276, 6.000000, 0.600000, 
1704475986533150332, 1704475986633470676, 0.547239, 0.192749, 0.103455, 6.000000, 0.600000, 
1704475986633470676, 1704475986732753884, 0.535888, 0.190063, 0.105590, 6.000000, 0.600000, 
1704475986732753884, 1704475986833068817, 0.547850, 0.197631, 0.107788, 6.000000, 0.600000, 
1704475986833068817, 1704475986933493308, 0.564268, 0.210571, 0.107910, 6.000000, 0.600000, 
1704475986933493308, 1704475987032759124, 0.567870, 0.223083, 0.105896, 6.000000, 0.600000, 
1704475987032759124, 1704475987133058399, 0.556944, 0.207336, 0.107727, 6.000000, 0.600000, 
1704475987133058399, 1704475987233454436, 0.561644, 0.212706, 0.106994, 6.000000, 0.600000, 
1704475987233454436, 1704475987332680678, 0.610106, 0.259460, 0.110962, 7.000000, 0.700000, 
1704475987332680678, 1704475987432987985, 0.687254, 0.337158, 0.118346, 8.000000, 0.800000, 
1704475987432987985, 1704475987533444687, 0.643981, 0.295714, 0.114868, 8.000000, 0.800000, 
1704475987533444687, 1704475987632703607, 0.673338, 0.320861, 0.114990, 9.000000, 0.900000, 
1704475987632703607, 1704475987733106583, 0.603941, 0.254333, 0.112366, 7.000000, 0.700000, 
1704475987733106583, 1704475987833526608, 0.551818, 0.197631, 0.107421, 7.000000, 0.700000, 
1704475987833526608, 1704475987932801885, 0.548094, 0.202026, 0.105164, 6.000000, 0.600000, 
1704475987932801885, 1704475988033131073, 0.592589, 0.244506, 0.108459, 6.000000, 0.600000, 
1704475988033131073, 1704475988133542112, 0.593748, 0.238830, 0.110107, 7.000000, 0.700000, 
1704475988133542112, 1704475988232763336, 0.540953, 0.195068, 0.106323, 6.000000, 0.600000, 
1704475988232763336, 1704475988333141161, 0.576293, 0.227417, 0.111084, 6.000000, 0.600000, 
1704475988333141161, 1704475988433518045, 0.614439, 0.259643, 0.108154, 7.000000, 0.700000, 
1704475988433518045, 1704475988532759327, 0.542907, 0.196898, 0.106994, 6.000000, 0.600000, 
1704475988532759327, 1704475988633149656, 0.542479, 0.193237, 0.105957, 6.000000, 0.600000, 
1704475988633149656, 1704475988733524189, 0.553770, 0.199280, 0.106750, 6.000000, 0.600000, 
1704475988733524189, 1704475988832758587, 0.543456, 0.197631, 0.106140, 6.000000, 0.600000, 
1704475988832758587, 1704475988933089295, 0.559263, 0.209594, 0.108703, 6.000000, 0.600000, 
1704475988933089295, 1704475989033458380, 0.570861, 0.222228, 0.105774, 6.000000, 0.600000, 
1704475989033458380, 1704475989132689458, 0.559141, 0.208130, 0.107543, 6.000000, 0.600000, 
1704475989132689458, 1704475989233104667, 0.543456, 0.193847, 0.104614, 6.000000, 0.600000, 
1704475989233104667, 1704475989333473599, 0.551818, 0.202514, 0.109863, 6.000000, 0.600000, 
1704475989333473599, 1704475989432712064, 0.575132, 0.224975, 0.107178, 6.000000, 0.600000, 
1704475989432712064, 1704475989533090505, 0.534240, 0.183899, 0.103271, 6.000000, 0.600000, 
1704475989533090505, 1704475989633468541, 0.547362, 0.198058, 0.110657, 6.000000, 0.600000, 
1704475989633468541, 1704475989732659668, 0.557737, 0.207031, 0.105529, 6.000000, 0.600000, 
1704475989732659668, 1704475989833035608, 0.568297, 0.219482, 0.106201, 6.000000, 0.600000, 
1704475989833035608, 1704475989933427997, 0.559020, 0.208495, 0.108703, 6.000000, 0.600000, 
1704475989933427997, 1704475990032670878, 0.566466, 0.215820, 0.103821, 6.000000, 0.600000, 
1704475990032670878, 1704475990133013214, 0.548887, 0.200134, 0.105041, 6.000000, 0.600000, 
1704475990133013214, 1704475990233333069, 0.561339, 0.211547, 0.108764, 6.000000, 0.600000, 
1704475990233333069, 1704475990333702705, 0.547606, 0.192627, 0.107056, 6.000000, 0.600000, 
1704475990333702705, 1704475990433050038, 0.562194, 0.216735, 0.107543, 6.000000, 0.600000, 
1704475990433050038, 1704475990533341750, 0.539671, 0.189269, 0.106751, 6.000000, 0.600000, 
1704475990533341750, 1704475990633677448, 0.545104, 0.190735, 0.103820, 6.000000, 0.600000, 
1704475990633677448, 1704475990733084072, 0.546751, 0.201537, 0.107605, 6.000000, 0.600000, 
1704475990733084072, 1704475990833418744, 0.547545, 0.197449, 0.106323, 6.000000, 0.600000, 
1704475990833418744, 1704475990932706662, 0.541869, 0.190856, 0.107544, 6.000000, 0.600000, 
1704475990932706662, 1704475991033113199, 0.570921, 0.222045, 0.106750, 6.000000, 0.600000, 
1704475991033113199, 1704475991133477475, 0.547484, 0.197937, 0.106872, 6.000000, 0.600000, 
1704475991133477475, 1704475991232727606, 0.555846, 0.204589, 0.105652, 6.000000, 0.600000, 
1704475991232727606, 1704475991333160036, 0.543334, 0.193237, 0.105407, 6.000000, 0.600000, 
1704475991333160036, 1704475991433541439, 0.570921, 0.221862, 0.108337, 6.000000, 0.600000, 
1704475991433541439, 1704475991532807887, 0.532958, 0.181946, 0.099182, 6.000000, 0.600000, 
1704475991532807887, 1704475991633183654, 0.527403, 0.177672, 0.101929, 6.000000, 0.600000, 
1704475991633183654, 1704475991733566751, 0.591673, 0.243347, 0.111083, 6.000000, 0.600000, 
1704475991733566751, 1704475991832793921, 0.557128, 0.205383, 0.105469, 6.000000, 0.600000, 
1704475991832793921, 1704475991933150799, 0.570860, 0.221740, 0.110046, 6.000000, 0.600000, 
1704475991933150799, 1704475992033512185, 0.563475, 0.214050, 0.103759, 6.000000, 0.600000, 
1704475992033512185, 1704475992132792936, 0.547423, 0.196166, 0.105469, 6.000000, 0.600000, 
1704475992132792936, 1704475992233187958, 0.566405, 0.217712, 0.109558, 6.000000, 0.600000, 
1704475992233187958, 1704475992333548100, 0.541564, 0.193725, 0.105956, 6.000000, 0.600000, 
1704475992333548100, 1704475992432885982, 0.580443, 0.228393, 0.108704, 6.000000, 0.600000, 
1704475992432885982, 1704475992533276674, 0.554808, 0.204284, 0.107543, 6.000000, 0.600000, 
1704475992533276674, 1704475992633546050, 0.544249, 0.195556, 0.106568, 6.000000, 0.600000, 
1704475992633546050, 1704475992732778771, 0.546690, 0.194641, 0.104003, 6.000000, 0.600000, 
1704475992732778771, 1704475992833149497, 0.550597, 0.201477, 0.107849, 6.000000, 0.600000, 
1704475992833149497, 1704475992933539638, 0.545409, 0.196288, 0.105285, 6.000000, 0.600000, 
1704475992933539638, 1704475993032733593, 0.564085, 0.213256, 0.102600, 6.000000, 0.600000, 
1704475993032733593, 1704475993133106589, 0.562621, 0.213135, 0.108093, 6.000000, 0.600000, 
1704475993133106589, 1704475993233437150, 0.553892, 0.204650, 0.107666, 6.000000, 0.600000, 
1704475993233437150, 1704475993332666661, 0.567565, 0.216918, 0.109619, 6.000000, 0.600000, 
1704475993332666661, 1704475993433014292, 0.604918, 0.255005, 0.108581, 6.000000, 0.600000, 
1704475993433014292, 1704475993533395581, 0.551451, 0.202331, 0.104187, 6.000000, 0.600000, 
1704475993533395581, 1704475993632667622, 0.547118, 0.195190, 0.105835, 6.000000, 0.600000, 
1704475993632667622, 1704475993733097864, 0.549986, 0.200744, 0.108825, 6.000000, 0.600000, 
